Value	Rank	Genus	Family	Phylum	Location	Impt_Family
NCBITaxon:1121318	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:1121326	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:1121328	strain	NCBITaxon:3120163	NCBITaxon:3120162	NCBITaxon:1239	human	other
NCBITaxon:1121338	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:1121340	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:1123286	strain	NCBITaxon:2375	NCBITaxon:1843490	NCBITaxon:1239	human	other
NCBITaxon:112331	species	NCBITaxon:1372	NCBITaxon:186818	NCBITaxon:1239	human	other
NCBITaxon:1125967	species	NCBITaxon:55080	NCBITaxon:186822	NCBITaxon:1239	human	other
NCBITaxon:1131730	strain	NCBITaxon:2675232	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1150625	strain	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1155777	strain	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1178540	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1185653	strain	NCBITaxon:1372	NCBITaxon:186818	NCBITaxon:1239	human	other
NCBITaxon:1192197	strain	NCBITaxon:365348	NCBITaxon:1843490	NCBITaxon:1239	human	other
NCBITaxon:1196324	strain	NCBITaxon:1329200	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1198630	strain	NCBITaxon:1754	NCBITaxon:186814	NCBITaxon:1239	human	other
NCBITaxon:1202534	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:1215031	species	NCBITaxon:2675232	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1216932	species	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:1217737	strain	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1218175	strain	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1223503	strain	NCBITaxon:1906945	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1229268	species	NCBITaxon:320933	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1229621	species	NCBITaxon:207244	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:1233873	species	NCBITaxon:129337	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1235825	strain	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1246484	species	NCBITaxon:45667	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1266720	species	NCBITaxon:44260	NCBITaxon:3039168	NCBITaxon:1239	human	other
NCBITaxon:1286404	strain	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1288971	strain	NCBITaxon:2794837	NCBITaxon:2992719	NCBITaxon:1239	human	other
NCBITaxon:1293	species	NCBITaxon:1279	NCBITaxon:90964	NCBITaxon:1239	human	other
NCBITaxon:1293054	strain	NCBITaxon:2330	NCBITaxon:972	NCBITaxon:1239	human	other
NCBITaxon:1294142	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:1295	species	NCBITaxon:1279	NCBITaxon:90964	NCBITaxon:1239	human	other
NCBITaxon:1295642	species	NCBITaxon:1906945	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1297617	species	NCBITaxon:1392389	not found	NCBITaxon:1239	human	other
NCBITaxon:1301086	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1304284	species	NCBITaxon:1640153	NCBITaxon:2848916	NCBITaxon:1239	human	other
NCBITaxon:1307436	strain	NCBITaxon:2675230	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1321606	strain	NCBITaxon:2675231	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1323	species	NCBITaxon:1573536	NCBITaxon:128827	NCBITaxon:1239	human	other
NCBITaxon:1326968	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1328	species	NCBITaxon:1301	NCBITaxon:1300	NCBITaxon:1239	human	other
NCBITaxon:1329516	species	NCBITaxon:2023	NCBITaxon:186824	NCBITaxon:1239	human	other
NCBITaxon:1330043	strain	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1345695	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:135461	subspecies	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:135735	species	NCBITaxon:2800373	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1367477	strain	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1368424	strain	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:137838	species	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:1380685	species	NCBITaxon:1274351	NCBITaxon:186824	NCBITaxon:1239	human	other
NCBITaxon:1385510	strain	NCBITaxon:289201	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1385511	strain	NCBITaxon:289201	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1385512	strain	NCBITaxon:289201	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1385513	strain	NCBITaxon:289201	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1385514	strain	NCBITaxon:289201	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1390	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1392	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1396	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1399	species	NCBITaxon:2675230	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1403243	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1404	species	NCBITaxon:2800373	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1405	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1408	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1408103	species	NCBITaxon:2675231	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1408282	species	NCBITaxon:129337	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1409	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1414648	species	NCBITaxon:2800373	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1417629	species	NCBITaxon:1780299	NCBITaxon:3118657	NCBITaxon:1239	human	other
NCBITaxon:1422	species	NCBITaxon:129337	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1423	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1423143	strain	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1428	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1436363	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1450648	species	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:1452	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1455638	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1456	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1457158	strain	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1459	species	NCBITaxon:1569	NCBITaxon:186818	NCBITaxon:1239	human	other
NCBITaxon:1473	species	NCBITaxon:84406	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1476	species	NCBITaxon:1569	NCBITaxon:186818	NCBITaxon:1239	human	other
NCBITaxon:1478	species	NCBITaxon:2675229	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1482739	species	NCBITaxon:129337	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1490290	species	NCBITaxon:2756134	NCBITaxon:186824	NCBITaxon:1239	human	other
NCBITaxon:1491830	species	NCBITaxon:2675233	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1494	species	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:1496	species	NCBITaxon:1870884	NCBITaxon:186804	NCBITaxon:1239	human	other
NCBITaxon:1506	species	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:1507512	species	NCBITaxon:1501226	NCBITaxon:186804	NCBITaxon:1239	human	other
NCBITaxon:1509	species	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:1511746	species	NCBITaxon:1754	NCBITaxon:186814	NCBITaxon:1239	human	other
NCBITaxon:152268	species	NCBITaxon:2675233	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1529117	species	NCBITaxon:1386	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:153151	species	NCBITaxon:1906945	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1532552	species	NCBITaxon:704093	NCBITaxon:186817	NCBITaxon:1239	human	other
NCBITaxon:1535751	species	NCBITaxon:150247	NCBITaxon:186817	NCBITaxon:1239	human	other
